questionId,topic,question,answerCount,answerId,author,answerText
import_q001,UX/UI Design,Why do all websites look exactly the same now with massive text and boring colors?,2,import_a0001,Sam,"It is because most people just use templates now. Check out [WordPress](https://wordpress.com/), it powers half the web and uses standard themes."
import_q001,UX/UI Design,Why do all websites look exactly the same now with massive text and boring colors?,2,import_a0002,Mia,"Actually, it is for ease of use. When things look the same, people know how to click them without thinking."
import_q002,Software/Coding,"I am trying to learn Python but I am so lost, where do I actually start?",3,import_a0003,Dave,Do not panic! I highly recommend starting with [Codecademy](https://www.codecademy.com/). It lets you type code right in your browser.
import_q002,Software/Coding,"I am trying to learn Python but I am so lost, where do I actually start?",3,import_a0004,Sarah,I was stuck too. What helped me was making a simple text game. Just build something tiny!
import_q002,Software/Coding,"I am trying to learn Python but I am so lost, where do I actually start?",3,import_a0005,Leo,Watch one beginner video and stop searching. Too many choices will just confuse you.
import_q003,Productivity Tools,Is Notion actually better than just using a simple notebook? I feel like learning it is a full-time job.,2,import_a0006,Jen,I gave up on it. A paper notebook never runs out of battery. Just use what works for you.
import_q003,Productivity Tools,Is Notion actually better than just using a simple notebook? I feel like learning it is a full-time job.,2,import_a0007,Chris,"It is amazing if you need to share things. I recommend watching [Thomas Frank](https://thomasjfrank.com/) on YouTube, he explains it perfectly."
import_q004,Hardware/Gifts,"My budget is $50, what is the best mouse I can get for my office? My hand is cramping.",1,import_a0008,Mike,"For exactly that price, I recommend the [Logitech Pebble](https://www.logitech.com/). It is small, quiet, and very smooth."
import_q005,Cybersecurity/Privacy,Should I really be worried about my phone listening to me? I talked about dog food and saw an ad for it!,4,import_a0009,Anna,"They are not listening to your voice, they are just tracking what you search and where you go. It is creepy but normal."
import_q005,Cybersecurity/Privacy,Should I really be worried about my phone listening to me? I talked about dog food and saw an ad for it!,4,import_a0010,Tom,"In my experience, if you turn off microphone access in your settings, you will feel a lot better. Check out [Privacy Guides](https://www.privacyguides.org/) for simple tips."
import_q005,Cybersecurity/Privacy,Should I really be worried about my phone listening to me? I talked about dog food and saw an ad for it!,4,import_a0011,Jess,I totally think they listen. I never searched for dog food in my life!
import_q005,Cybersecurity/Privacy,Should I really be worried about my phone listening to me? I talked about dog food and saw an ad for it!,4,import_a0012,Rick,It is just a coincidence mixed with very smart math. Advertisers know you better than you know yourself.
import_q006,AI,Will ChatGPT actually take my job or is it just hype? I am an office assistant and I am freaking out.,0,,,
import_q007,Software/Coding,I keep getting stuck trying to put a picture exactly in the middle of my website. Why is HTML so hard?,1,import_a0013,Paul,"Try using [Flexbox](https://css-tricks.com/snippets/css/a-guide-to-flexbox/), it is a total game changer for placing things."
import_q008,UX/UI Design,Why does every single app want me to make an account just to read one page?,3,import_a0014,Nina,They want your email so they can sell you stuff.
import_q008,UX/UI Design,Why does every single app want me to make an account just to read one page?,3,import_a0015,Greg,Just use [10 Minute Mail](https://10minutemail.com/) if you do not want to give them your real email.
import_q008,UX/UI Design,Why does every single app want me to make an account just to read one page?,3,import_a0016,Fiona,It is super annoying. I just close the page right away.
import_q009,Hardware/Gifts,My laptop is 5 years old and takes ten minutes to turn on. Do I need to buy a new one?,2,import_a0017,Omar,No! Just buy a cheap Solid State Drive. It will run like brand new.
import_q009,Hardware/Gifts,My laptop is 5 years old and takes ten minutes to turn on. Do I need to buy a new one?,2,import_a0018,Lucy,"In my experience, if it is over 5 years old, it might be time to check out [Best Buy](https://www.bestbuy.com/) for a basic new model."
import_q010,Cybersecurity/Privacy,Does clearing your browser cache actually do anything or is it a myth?,1,import_a0019,Evan,"Yes, it deletes old files that might be broken. It usually fixes weird website glitches for me."
import_q011,Productivity Tools,I have tried ten different to-do apps and I always quit using them. What is wrong with me?,4,import_a0020,Cara,Nothing is wrong with you! Apps can be too much work.
import_q011,Productivity Tools,I have tried ten different to-do apps and I always quit using them. What is wrong with me?,4,import_a0021,Seth,Try using just a sticky note on your desk.
import_q011,Productivity Tools,I have tried ten different to-do apps and I always quit using them. What is wrong with me?,4,import_a0022,Maya,"I recommend [Todoist](https://todoist.com/), it is the only one that stuck for me because it is so plain."
import_q011,Productivity Tools,I have tried ten different to-do apps and I always quit using them. What is wrong with me?,4,import_a0023,Luke,You might be trying to plan too much at once. Just write down three things a day.
import_q012,AI,Is using AI to make art actually considered real art? Just curious what people think.,2,import_a0024,Zoe,"It is more like telling an artist what to paint. You are the director, not the painter."
import_q012,AI,Is using AI to make art actually considered real art? Just curious what people think.,2,import_a0025,Ryan,"I do not think so, but tools like [Midjourney](https://www.midjourney.com/) are still really fun to play with."
import_q013,UX/UI Design,Where did all the scrollbars go on modern websites? I can never tell how long a page is anymore!,0,,,
import_q014,Software/Coding,Do I need to be really good at math to learn how to code? I am terrible at numbers.,2,import_a0026,Tess,Not at all! Most coding is just logic and moving words around.
import_q014,Software/Coding,Do I need to be really good at math to learn how to code? I am terrible at numbers.,2,import_a0027,Alan,"Unless you are making 3D games or AI, basic math is totally fine. Check out [freeCodeCamp](https://www.freecodecamp.org/) to see how simple it starts."
import_q015,Hardware/Gifts,Should I get a Mac or a PC for college? I mostly just type papers and watch videos.,3,import_a0028,Jill,Get a cheap PC. You do not need a Mac just to write papers.
import_q015,Hardware/Gifts,Should I get a Mac or a PC for college? I mostly just type papers and watch videos.,3,import_a0029,Mark,A MacBook Air is amazing because the battery lasts all day. Look at the student discounts on [Apple](https://www.apple.com/).
import_q015,Hardware/Gifts,Should I get a Mac or a PC for college? I mostly just type papers and watch videos.,3,import_a0030,Emma,"Honestly, a simple Chromebook might be all you need!"
import_q016,Productivity Tools,What is the best shared calendar for a really busy family? We keep missing appointments.,1,import_a0031,Beth,I highly recommend [Google Calendar](https://calendar.google.com/). You can color code everything for each kid.
import_q017,Cybersecurity/Privacy,Are those free VPN apps actually safe to use? I want to watch a show from another country.,2,import_a0032,Cole,"If it is free, you are the product. They might be selling your data."
import_q017,Cybersecurity/Privacy,Are those free VPN apps actually safe to use? I want to watch a show from another country.,2,import_a0033,Dana,Pay for a cheap one instead. I use [Mullvad](https://mullvad.net/) and it is very safe.
import_q018,AI,"Every time I ask AI to write an email for me, it sounds totally fake. How do I fix this?",3,import_a0034,Sean,Tell it to write like a normal person and stop using big words.
import_q018,AI,"Every time I ask AI to write an email for me, it sounds totally fake. How do I fix this?",3,import_a0035,Erin,"I always write my own messy email first, then ask the AI to just fix my spelling."
import_q018,AI,"Every time I ask AI to write an email for me, it sounds totally fake. How do I fix this?",3,import_a0036,Kyle,"Check out [Grammarly](https://www.grammarly.com/), it helps you write better without sounding like a robot."
import_q019,UX/UI Design,Why are the words on websites getting so huge? I feel like I am reading a children book.,1,import_a0037,Jane,"Mostly because everyone uses their phones now, so text has to be big enough to tap on."
import_q020,Software/Coding,I am 40 years old. Is it too late to learn how to make websites?,4,import_a0038,Bill,Never! I started at 45 and now I do it for a living.
import_q020,Software/Coding,I am 40 years old. Is it too late to learn how to make websites?,4,import_a0039,Rose,Age does not matter at all. The computer does not care how old you are.
import_q020,Software/Coding,I am 40 years old. Is it too late to learn how to make websites?,4,import_a0040,Gary,"Try out [The Odin Project](https://www.theodinproject.com/), it is completely free and walks you through everything."
import_q020,Software/Coding,I am 40 years old. Is it too late to learn how to make websites?,4,import_a0041,Lynn,"It might take a bit longer to learn, but you have life experience that younger people do not have."
import_q021,Hardware/Gifts,I love the sound of loud keyboards but my family hates it. Is there a quiet one that still feels good?,2,import_a0042,Noah,Look for keyboards with brown or red switches. They feel nice but do not click loudly.
import_q021,Hardware/Gifts,I love the sound of loud keyboards but my family hates it. Is there a quiet one that still feels good?,2,import_a0043,Leah,I recommend the [Keychron](https://www.keychron.com/) boards. You can pick quiet keys when you buy it.
import_q022,Productivity Tools,Evernote got too expensive. What is a free note app that is actually good?,3,import_a0044,Adam,Just use Apple Notes if you have an iPhone. It is perfectly fine.
import_q022,Productivity Tools,Evernote got too expensive. What is a free note app that is actually good?,3,import_a0045,Ruth,I moved all my stuff to [Joplin](https://joplinapp.org/). It is completely free and works exactly the same.
import_q022,Productivity Tools,Evernote got too expensive. What is a free note app that is actually good?,3,import_a0046,Drew,Google Keep is great for quick little notes.
import_q023,Cybersecurity/Privacy,Does opening a private window actually hide what I am doing from my internet provider?,2,import_a0047,Troy,No! It only hides it from other people who use your exact computer.
import_q023,Cybersecurity/Privacy,Does opening a private window actually hide what I am doing from my internet provider?,2,import_a0048,Gail,Your internet company can still see everything. You would need a VPN to hide it from them.
import_q024,AI,Can I just copy my whole resume into ChatGPT and ask it to make it better?,1,import_a0049,Cody,"Yes, but make sure you remove your phone number and address first just to be safe!"
import_q025,UX/UI Design,I absolutely hate the new video updates on social media. Why is everything turning into TikTok?,0,,,
import_q026,Software/Coding,I am learning code. What exactly is Github and why does everyone say I need it?,2,import_a0050,Dean,It is basically Google Drive for code. It saves a history of your work so you never lose it.
import_q026,Software/Coding,I am learning code. What exactly is Github and why does everyone say I need it?,2,import_a0051,Faye,It is a place to show off your projects to get a job. Make a free account at [GitHub](https://github.com/) and just click around.
import_q027,Hardware/Gifts,I am working from home. Should I buy wireless headphones or are wired ones better?,3,import_a0052,John,Get wireless! Being able to walk to the kitchen during a boring meeting is the best.
import_q027,Hardware/Gifts,I am working from home. Should I buy wireless headphones or are wired ones better?,3,import_a0053,Mary,Wired ones never run out of battery. I hate charging my headphones.
import_q027,Hardware/Gifts,I am working from home. Should I buy wireless headphones or are wired ones better?,3,import_a0054,Carl,"I recommend [Sony](https://www.sony.com/) wireless headphones, the battery lasts for days."
import_q028,Productivity Tools,How do I actually stop looking at my phone while I am trying to work?,2,import_a0055,Tina,"Put it in another room. Seriously, just walk away from it."
import_q028,Productivity Tools,How do I actually stop looking at my phone while I am trying to work?,2,import_a0056,Zack,There is a cool app called [Forest](https://www.forestapp.cc/) that grows a virtual tree when you leave your phone alone.
import_q029,Cybersecurity/Privacy,Every website asks me to accept cookies. Should I actually care about this?,1,import_a0057,Ella,Usually it is fine. They just use it to remember you or track what you look at. Just hit accept if you are in a hurry.
import_q030,AI,Is using AI tools to make graphics basically stealing from real artists?,4,import_a0058,Pete,That is a huge debate right now. The AI did learn by looking at millions of real drawings.
import_q030,AI,Is using AI tools to make graphics basically stealing from real artists?,4,import_a0059,Lori,"I think of it as inspiration, just like a human artist looks at other art."
import_q030,AI,Is using AI tools to make graphics basically stealing from real artists?,4,import_a0060,Hank,"If you are making money from it, it feels a bit wrong."
import_q030,AI,Is using AI tools to make graphics basically stealing from real artists?,4,import_a0061,Cara,You can read more about the legal fights on [The Verge](https://www.theverge.com/). It is super complicated.
import_q031,UX/UI Design,Why do apps ask me to rate them five seconds after I open them for the first time?,2,import_a0062,Vera,It is a lazy way to get good reviews before you find any bugs.
import_q031,UX/UI Design,Why do apps ask me to rate them five seconds after I open them for the first time?,2,import_a0063,Stan,"I always click no. If they bother me twice, I delete them."
